dataset,seed,limit_dummies,iteration,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_learning_rate,param_min_data_in_leaf,param_n_estimators,param_random_strength,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,exp_name
credit-g,0,,57,1.2719298362731934,0.04323075349806112,0.012496042251586913,0.002577615733279382,9,0.8098654847788329,33,64,19,0.7157738095238095,0.6811755952380953,0.7505580357142856,0.7245163690476188,0.7219122023809523,0.7187872023809524,0.022251689170797673,676,0.9616466703869048,0.9654599144345237,0.9365350632440477,0.9758882068452381,0.9599958147321428,0.9599051339285716,0.012926837063816265,CATBOOST
credit-g,0,,58,4.108669376373291,0.10809669101710548,0.018562793731689453,0.007844448963506334,9,0.524576413803521,84,185,9,0.699590773809524,0.7220982142857143,0.7310267857142857,0.7079613095238095,0.7196800595238095,0.7160714285714285,0.011048919250446633,722,0.9706566220238095,0.96826171875,0.9406156994047619,0.9862932477678571,0.9719354538690477,0.9675525483630952,0.014873840812558258,CATBOOST
credit-g,0,,59,7.507718324661255,0.13036522806867987,0.014794731140136718,0.0016830859145109012,10,0.43675298230080306,1,186,16,0.7036830357142857,0.6798735119047619,0.7379092261904763,0.7570684523809523,0.7116815476190477,0.7180431547619047,0.026911853702798055,688,0.9744698660714286,0.9672270275297619,0.9719819568452381,0.9714704241071428,0.9765857514880952,0.9723470052083334,0.0031492644992661364,CATBOOST
credit-g,0,,60,5.76142258644104,0.41687589611598036,0.01348114013671875,0.0023731783349370808,10,0.8268222419729087,40,142,14,0.7340029761904763,0.69140625,0.7025669642857143,0.6843377976190476,0.7018229166666666,0.702827380952381,0.017001773012617356,909,0.9638904389880952,0.9612862723214285,0.9566824776785715,0.9773297991071429,0.9676804315476191,0.9653738839285715,0.006967263305214493,CATBOOST
credit-g,0,,61,0.938282060623169,0.04341605089742921,0.017235326766967773,0.0027149064546887914,7,0.3492043757353819,50,101,4,0.7334449404761904,0.7271205357142857,0.7911086309523809,0.7386532738095237,0.7600446428571429,0.7500744047619047,0.023311262452486055,127,0.9797828311011905,0.9499976748511905,0.9595307849702381,0.9655064174107142,0.9499046688988095,0.9609444754464285,0.011130168470459363,CATBOOST
credit-g,0,,62,0.6724575519561767,0.07390784852566065,0.011730623245239259,0.0029211189572916196,6,0.8563856792818892,35,101,12,0.7074032738095238,0.6780133928571428,0.6994047619047619,0.7661830357142857,0.7062872023809524,0.7114583333333333,0.02933199543635491,796,0.9682617187500001,0.9659598214285714,0.9422316778273809,0.9653436569940476,0.9618791852678572,0.9607352120535715,0.009474936036902096,CATBOOST
credit-g,0,,63,1.9527223587036133,0.11461814305531863,0.01223597526550293,0.0029666568044041854,9,0.1274076684474403,46,137,2,0.7371651785714287,0.7395833333333333,0.796688988095238,0.767671130952381,0.7371651785714285,0.7556547619047619,0.023538143699734785,66,0.9658086867559523,0.9585774739583334,0.9595191592261905,0.9695172991071428,0.9392438616071429,0.9585332961309524,0.010455962816485285,CATBOOST
credit-g,0,,64,0.6824843406677246,0.048420171720644695,0.01140766143798828,0.0012222570572061255,7,0.1750801918978167,95,109,17,0.7507440476190476,0.7406994047619047,0.7780877976190476,0.7475818452380952,0.7516741071428571,0.7537574404761904,0.01275960317759595,82,0.9576241629464286,0.9566010974702381,0.952392578125,0.9503580729166666,0.9119001116071429,0.9457752046130953,0.01714591502361578,CATBOOST
credit-g,0,,65,1.2167014598846435,0.04417159592380978,0.013467884063720703,0.0014639977608130786,7,0.9657427406925061,59,156,10,0.7034970238095237,0.6834077380952381,0.7178199404761906,0.6858258928571429,0.7289806547619048,0.70390625,0.017717631487470145,897,0.9552176339285715,0.9429873511904762,0.9495907738095237,0.9864792596726191,0.9673549107142857,0.9603259858630953,0.01533210882528725,CATBOOST
credit-g,0,,66,0.8906182765960693,0.07386782291902974,0.012293529510498048,0.0014800685839961246,9,0.15673446070243907,71,88,8,0.7602306547619049,0.7315848214285714,0.8099888392857143,0.7646949404761904,0.7349330357142856,0.7602864583333333,0.02812950230875374,24,0.9367559523809524,0.9245837983630953,0.9327915736607143,0.9373953683035714,0.9223284040178571,0.9307710193452381,0.006218416508300839,CATBOOST
credit-g,0,,67,0.3224292755126953,0.0291200907503553,0.011194801330566407,0.0016959236556072157,5,0.8497342877584517,8,72,16,0.6594122023809524,0.6835937500000001,0.7494419642857142,0.7200520833333334,0.7421875,0.7109375000000001,0.034481208963909715,809,0.9609840029761905,0.9385579427083335,0.9413713727678571,0.948056175595238,0.950224376860119,0.9478387741815476,0.007829387172163567,CATBOOST
